Risk factor;smoking;drinking alcohol;poor diet;physical inactivity;obesity;age;weak immune system;exposure to pollutants;genetic factors;contact with sick person
bronchitis;0,02;0;0;0;0;0;0,07;0;0;0,07
anemia;0;0;0,09;0;0;0,054;0;0;0;0
asthma;0,034;0;0;0;0;0;0;0,097;0;0
influenza;0;0;0;0;0;0;0,08;0;0,057;0,08
diabetes;0;0,032;0,02;0,006;0,08;0;0;0;0,078;0
failure heart;0,012;0;0;0,01;0,02;0,067;0;0;0,012;0
hepatitis;0;0,07;0,04;0;0,092;0,023;0;0;0,036;0
hypertension;0,005;0;0;0,032;0;0;0;0;0,094;0
osteoporosis;0;0;0;0;0,07;0,09;0;0;0,076;0
pneumonia;0,014;0;0;0;0;0;0,058;0;0;0,07
