Disease;abscess bacterial;angina pectoris;asthenia;chill;constipation;runny nose;diarrhea;dizziness;fatigue;fever;headache;heartburn;lethargy;nausea;night sweat;non-productive cough;pain abdominal;pain back;pain chest;productive cough;pruritus;rale;shortness of breath;stuffy nose;sweat;throat sore;tired;unresponsiveness;vertigo;vomiting
bronchitis;0,3;0,87;0,76;0,3;0;0,92;0;0,2;0,45;0,56;0,66;0,7;0,33;0;0,1;0,88;0,3;0,1;0,58;0,78;0;0,89;0,75;0,6;0;0,88;0,4;0;0,1;0
anemia;0;0;1;1;0;0;0;1;1;0;0,57;0;0,77;0;0;0;0,2;0,1;0;0;0;0;0;0;0;0;0,55;0;0,44;0,31
asthma;0;0,67;0;0;0;0,78;0;0;0;0;0;0;0;0;0;1;0;0;0;0,74;0,4;0,7;0,96;0,45;0;0;0;0;0;0
influenza;0,5;0;1;0,87;0,6;0;0,8;1;0,65;0,86;0,45;0;0;0,9;0,78;0;0;0,62;0;0;0;0;0;0;0;0;0;0;0;0,88
diabetes;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0,93;0;0;0;0;0;0,9;0;0;0,5;0,83;0,4
failure heart;0;1;0,98;0;0;0;0;0,99;1;0;0,34;0,97;0;0;0;0;0;0;0;0;0;0;0,97;0;0;0;0;0;0,99;0
hepatitis;0;0;0;1;0;0;0;0;0;0,3;0;0;0;0;0;0;0,32;0;0;0;1;0;0;0;0;0;0;0;0;0,32
hypertension;0;0,4;0,55;1;0;0;0,3;0;0,87;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0,7;0;0,64;0;0;0
osteoporosis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,74;0,68;0;0;0;0;0;0;0;0;0;0;0,2;0
pneumonia;0;0,9;0,7;1;0;0,5;0;0,7;0,8;1;0,5;0;0;0;0,32;1;0;0;0,9;0,8;0;0,99;0,87;0;0;0,4;0;0;0,12;0
